WINNER,Tournament,Total
Adriano Panatta,Australian Open,
Albert Costa,Australian Open,
Alejandro Olmedo,Australian Open,
Alex Olmedo,Australian Open,1
Andre Agassi,Australian Open,4
Andres Gimeno,Australian Open,
Andres Gomez,Australian Open,
Andy Murray,Australian Open,
Andy Roddick,Australian Open,
Arthur Ashe,Australian Open,1
Arthur Larsen,Australian Open,
Ashley J. Cooper,Australian Open,2
Bill Bowrey,Australian Open,1
Bjorn Borg,Australian Open,
Boris Becker,Australian Open,2
Brian Teacher,Australian Open,1
Budge Patty,Australian Open,
C.R. McKinley,Australian Open,
Carlos Alcaraz,Australian Open,
Carlos Moya,Australian Open,
Daniil Medvedev,Australian Open,
Dick Savitt,Australian Open,1
Dominic Thiem,Australian Open,
E. Victor Seixas Jr.,Australian Open,
Frank Sedgman,Australian Open,1
Fred Stolle,Australian Open,
Gaston Gaudio,Australian Open,
Goran Ivanisevic,Australian Open,
Guillermo Vilas,Australian Open,2
Gustavo Kuerten,Australian Open,
Ilie Nastase,Australian Open,
Ivan Lendl,Australian Open,2
J.E. Patty,Australian Open,
Jan Kodes,Australian Open,
Jaroslav Drobny,Australian Open,
Jim Courier,Australian Open,2
Jimmy Connors,Australian Open,1
Johan Kriek,Australian Open,2
John McEnroe,Australian Open,
John Newcombe,Australian Open,2
Juan Carlos Ferrero,Australian Open,
Juan Martin del Potro,Australian Open,
Ken McGregor,Australian Open,1
Ken Rosewall,Australian Open,4
Lewis Hoad,Australian Open,1
Lleyton Hewitt,Australian Open,
Malcolm J. Anderson,Australian Open,
Manuel Orantes,Australian Open,
Manuel Santana,Australian Open,
Marat Safin,Australian Open,1
Marin Cilic,Australian Open,
Mark Edmondson,Australian Open,1
Mats Wilander,Australian Open,3
Mervyn Rose,Australian Open,1
Michael Chang,Australian Open,
Michael Stich,Australian Open,
Neale Fraser,Australian Open,
Nicola Pietrangeli,Australian Open,
Novak Djokovic,Australian Open,10
Pat Cash,Australian Open,
Patrick Rafter,Australian Open,
Pete Sampras,Australian Open,2
Petr Korda,Australian Open,1
R. Savitt,Australian Open,
Rafael Nadal,Australian Open,2
Rafael Osuna,Australian Open,
Richard Krajicek,Australian Open,
Rod Laver,Australian Open,3
Roger Federer,Australian Open,6
Roscoe Tanner,Australian Open,
Roy Emerson,Australian Open,6
Sergi Bruguera,Australian Open,
Stan Smith,Australian Open,
Stan Wawrinka,Australian Open,1
Stefan Edberg,Australian Open,2
Sven Davidson,Australian Open,
Thomas Johannson,Australian Open,1
Thomas Muster,Australian Open,
Tony Roche,Australian Open,
Tony Trabert,Australian Open,
Vitas Gerulaitis,Australian Open,
Yannick Noah,Australian Open,
Yevgeny Kafelnikov,Australian Open,1
Adriano Panatta,French Open,1
Albert Costa,French Open,1
Alejandro Olmedo,French Open,
Alex Olmedo,French Open,
Andre Agassi,French Open,1
Andres Gimeno,French Open,1
Andres Gomez,French Open,1
Andy Murray,French Open,
Andy Roddick,French Open,
Arthur Ashe,French Open,
Arthur Larsen,French Open,
Ashley J. Cooper,French Open,
Bill Bowrey,French Open,
Bjorn Borg,French Open,6
Boris Becker,French Open,
Brian Teacher,French Open,
Budge Patty,French Open,1
C.R. McKinley,French Open,
Carlos Alcaraz,French Open,
Carlos Moya,French Open,1
Daniil Medvedev,French Open,
Dick Savitt,French Open,
Dominic Thiem,French Open,
E. Victor Seixas Jr.,French Open,
Frank Sedgman,French Open,
Fred Stolle,French Open,1
Gaston Gaudio,French Open,1
Goran Ivanisevic,French Open,
Guillermo Vilas,French Open,1
Gustavo Kuerten,French Open,3
Ilie Nastase,French Open,1
Ivan Lendl,French Open,3
J.E. Patty,French Open,
Jan Kodes,French Open,2
Jaroslav Drobny,French Open,2
Jim Courier,French Open,2
Jimmy Connors,French Open,
Johan Kriek,French Open,
John McEnroe,French Open,
John Newcombe,French Open,
Juan Carlos Ferrero,French Open,1
Juan Martin del Potro,French Open,
Ken McGregor,French Open,
Ken Rosewall,French Open,2
Lewis Hoad,French Open,1
Lleyton Hewitt,French Open,
