ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Lat,Lng,Count
1,Adelaide,Adelaide International 1,3/1/22,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Nishioka Y.,53,81,1115,823,6,1,6,2,,,,,,,2,0,Completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22,-34.928,138.600,27.000
2,Melbourne,Melbourne Summer Set,4/1/22,ATP250,Outdoor,Hard,1st Round,3,Bagnis F.,Murray A.,76,134,860,521,6,3,5,7,6,3,,,,,2,1,Completed,7,1.1,8.72,1.09,8.8,1.11,7.51,1.08,-37.814,144.963,27.000
3,Adelaide,Adelaide International 2,10/1/22,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Bublik A.,160,35,440,1538,7,6,6,2,,,,,,,2,0,Completed,2,1.8,2.02,1.88,2.24,1.95,2.02,1.79,-34.928,138.600,27.000
4,Sydney,Sydney Tennis Classic,10/1/22,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bagnis F.,45,71,1261,868,6,4,6,4,,,,,,,2,0,Completed,1.66,2.2,1.68,2.29,1.8,2.35,1.67,2.18,-33.868,151.210,27.000
5,Melbourne,Australian Open,17/1/22,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Djere L.,14,51,2593,1156,7,6,6,4,3,6,7,6,,,3,1,Completed,1.1,7,1.07,10.98,1.14,10.98,1.1,7.09,-37.814,144.963,127.000
6,Cordoba,Cordoba Open,31/1/22,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Monteiro T.,61,92,1026,754,4,6,6,4,7,6,,,,,2,1,Completed,1.57,2.37,1.64,2.36,1.68,2.41,1.61,2.28,-31.420,-64.189,27.000
7,Montpellier,Open Sud de France,31/1/22,ATP250,Indoor,Hard,1st Round,3,Goffin D.,Bonzi B.,52,68,1141,924,2,6,7,5,6,1,,,,,2,1,Completed,1.8,2,1.92,1.97,1.93,2.05,1.85,1.95,43.612,3.877,27.000
8,Pune,Maharashtra Open,31/1/22,ATP250,Outdoor,Hard,1st Round,3,Albot R.,Gaio F.,108,174,695,371,6,2,7,6,,,,,,,2,0,Completed,1.22,4.33,1.28,3.95,1.33,4.4,1.25,3.89,18.520,73.857,27.000
9,Buenos Aires,Argentina Open,7/2/22,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Paire B.,37,50,1371,1120,4,6,6,4,7,6,,,,,2,1,Completed,1.61,2.3,1.61,2.46,1.67,2.47,1.59,2.35,-34.600,-58.382,27.000
10,Dallas,Dallas Open,7/2/22,ATP250,Indoor,Hard,1st Round,3,Anderson K.,Querrey S.,101,118,699,605,6,4,6,4,,,,,,,2,0,Completed,1.44,2.75,1.52,2.7,1.56,2.75,1.5,2.55,32.794,-96.767,27.000
