Player,Year,Slams
Novak Djokovic,2003,
Novak Djokovic,2004,
Novak Djokovic,2005,
Novak Djokovic,2006,
Novak Djokovic,2007,
Novak Djokovic,2008,1
Novak Djokovic,2009,
Novak Djokovic,2010,
Novak Djokovic,2011,3
Novak Djokovic,2012,1
Novak Djokovic,2013,1
Novak Djokovic,2014,1
Novak Djokovic,2015,3
Novak Djokovic,2016,2
Novak Djokovic,2017,
Novak Djokovic,2018,2
Novak Djokovic,2019,2
Novak Djokovic,2020,1
Novak Djokovic,2021,3
Novak Djokovic,2022,1
Novak Djokovic,2023,3
Rafael Nadal,2003,
Rafael Nadal,2004,
Rafael Nadal,2005,1
Rafael Nadal,2006,1
Rafael Nadal,2007,1
Rafael Nadal,2008,2
Rafael Nadal,2009,1
Rafael Nadal,2010,3
Rafael Nadal,2011,1
Rafael Nadal,2012,1
Rafael Nadal,2013,2
Rafael Nadal,2014,1
Rafael Nadal,2015,
Rafael Nadal,2016,
Rafael Nadal,2017,2
Rafael Nadal,2018,1
Rafael Nadal,2019,2
Rafael Nadal,2020,1
Rafael Nadal,2021,
Rafael Nadal,2022,2
Rafael Nadal,2023,
Roger Federer,2003,1
Roger Federer,2004,3
Roger Federer,2005,2
Roger Federer,2006,3
Roger Federer,2007,3
Roger Federer,2008,1
Roger Federer,2009,2
Roger Federer,2010,1
Roger Federer,2011,
Roger Federer,2012,1
Roger Federer,2013,
Roger Federer,2014,
Roger Federer,2015,
Roger Federer,2016,
Roger Federer,2017,2
Roger Federer,2018,1
Roger Federer,2019,
Roger Federer,2020,
Roger Federer,2021,
Roger Federer,2022,
Roger Federer,2023,
