Player,Career Index,Career Titles,Career Win/Loss,Career Win,Career Loss,Cateogry
Novak Djokovic,0.836,96,1077-211,1077,211,Overall
Roger Federer,0.829,92,1068-220,1068,220,Overall
Jimmy Connors,0.824,66,654-140,654,140,Overall
Ivan Lendl,0.82,103,1251-275,1251,275,Overall
Rod Laver,0.818,109,1274-283,1274,283,Overall
John McEnroe,0.817,77,883-198,883,198,Overall
Pete Sampras,0.815,94,1068-242,1068,242,Overall
Andre Agassi,0.798,59,576-146,576,146,Overall
Stefan Edberg,0.774,64,762-222,762,222,Overall
Rafael Nadal,0.769,49,713-214,713,214,Overall
Boris Becker,0.762,62,951-297,951,297,Overall
Bjorn Borg,0.76,60,870-274,870,274,Overall
Arthur Ashe,0.754,37,799-260,799,260,Overall
Andy Roddick,0.748,41,801-270,801,270,Overall
Daniil Medvedev,0.748,46,732-247,732,247,Overall
Andy Murray,0.748,9,160-54,160,54,Overall
Miloslav Mecir Sr.,0.742,32,612-213,612,213,Overall
Gene Mayer,0.74,35,546-192,546,192,Overall
John Newcombe,0.731,64,908-334,908,334,Overall
Vitas Gerulaitis,0.723,9,263-101,263,101,Overall
Jannik Sinner,0.72,33,571-222,571,222,Overall
Brian Gottfried,0.719,45,779-305,779,305,Overall
Ken Rosewall,0.716,22,439-174,439,174,Overall
Juan Martin del Potro,0.714,33,568-227,568,227,Overall
Mats Wilander,0.713,25,378-152,378,152,Overall
Yannick Noah,0.713,20,326-131,326,131,Overall
Stan Smith,0.711,34,724-294,724,294,Overall
Michael Chang,0.709,30,666-274,666,274,Overall
Jim Courier,0.709,9,175-72,175,72,Overall
Lleyton Hewitt,0.702,30,616-262,616,262,Overall
Eliot Teltscher,0.698,26,535-232,535,232,Overall
Guillermo Vilas,0.696,44,625-273,625,273,Overall
Tom Okker,0.696,22,608-265,608,265,Overall
Milos Raonic,0.696,23,482-211,482,211,Overall
Brad Gilbert,0.693,21,388-172,388,172,Overall
Alexander Zverev,0.69,11,348-156,348,156,Overall
Cliff Richey,0.686,20,488-223,488,223,Overall
Marcelo Rios,0.686,18,385-176,385,176,Overall
Yevgeny Kafelnikov,0.682,11,262-122,262,122,Overall
Jo-Wilfried Tsonga,0.681,23,506-237,506,237,Overall
Kei Nishikori,0.68,25,702-330,702,330,Overall
Roscoe Tanner,0.68,34,662-312,662,312,Overall
Raul Ramirez,0.68,10,291-137,291,137,Overall
Sandy Mayer,0.677,8,376-179,376,179,Overall
Patrick Rafter,0.672,19,546-267,546,267,Overall
Richard Krajicek,0.671,12,433-212,433,212,Overall
Ilie Nastase,0.671,18,391-192,391,192,Overall
Michael Stich,0.669,14,321-159,321,159,Overall
Nick Kyrgios,0.666,26,609-306,609,306,Overall
Stefanos Tsitsipas,0.666,15,592-297,592,297,Overall
